147 《被解救的姜戈》 (2012)  8.7分  评价数:468945  短评:热血沸腾，那个低俗、性感的无耻混蛋又来了。
148 《风之谷》 (1984)  8.9分  评价数:295378  短评:动画片的圣经。
149 《喜宴》 (1993)  8.9分  评价数:261745  短评:中国家庭的喜怒哀乐忍。
150 《电锯惊魂》 (2004)  8.7分  评价数:395669  短评:真相就在眼前。
151 《七武士》 (1954)  9.3分  评价数:146766  短评:时代悲歌。
152 《一个叫欧维的男人决定去死》 (2015)  8.9分  评价数:310134  短评:惠及一生的美丽。
153 《我是山姆》 (2001)  8.9分  评价数:239355  短评:爱并不需要智商 。
154 《英雄本色》 (1986)  8.7分  评价数:395561  短评:英雄泪短，兄弟情长。 
155 《上帝之城》 (2002)  9.0分  评价数:242941  短评:被上帝抛弃了的上帝之城。
156 《头号玩家》 (2018)  8.6分  评价数:1086867  短评:写给影迷，动漫迷和游戏迷的一封情书。
157 《谍影重重3》 (2007)  8.8分  评价数:332861  短评:像吃了苏打饼一样干脆的电影。
158 《疯狂原始人》 (2013)  8.7分  评价数:671146  短评:老少皆宜，这就是好莱坞动画的魅力。
159 《岁月神偷》 (2010)  8.7分  评价数:483438  短评:岁月流逝，来日可追。
160 《纵横四海》 (1991)  8.8分  评价数:315535  短评:香港浪漫主义警匪动作片的巅峰之作。
161 《三块广告牌》 (2017)  8.7分  评价数:646792  短评:怼天怼地，你走后，她与世界为敌。
162 《卢旺达饭店》 (2004)  8.9分  评价数:235305  短评:当这个世界闭上双眼，他却敞开了怀抱。
163 《达拉斯买家俱乐部》 (2013)  8.8分  评价数:349402  短评:Jared Leto的腿比女人还美！
164 《未麻的部屋》 (1997)  9.0分  评价数:215710  短评:好的剧本是，就算你猜到了结局也猜不到全部。
165 《心迷宫》 (2014)  8.7分  评价数:382417  短评:荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
166 《花样年华》 (2000)  8.7分  评价数:445538  短评:偷情本没有这样美。
167 《记忆碎片》 (2000)  8.6分  评价数:482170  短评:一个针管引发的血案。
168 《模仿游戏》 (2014)  8.7分  评价数:472992  短评:他给机器起名“克里斯托弗”，因为这是他初恋的名字。
169 《黑客帝国3：矩阵革命》 (2003)  8.8分  评价数:328853  短评:不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
170 《你的名字。》 (2016)  8.4分  评价数:1071091  短评:穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
171 《荒蛮故事》 (2014)  8.8分  评价数:328547  短评:始于荒诞，止于更荒诞。
172 《新世界》 (2013)  8.8分  评价数:271114  短评:要做就做得狠一点，这样才能活下去。
173 《忠犬八公物语》 (1987)  9.2分  评价数:145348  短评:养狗三日，便会对你终其一生。
174 《爆裂鼓手》 (2014)  8.7分  评价数:435776  短评:这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
175 《萤火虫之墓》 (1988)  8.7分  评价数:338683  短评:幸福是生生不息，却难以触及的远。 
176 《贫民窟的百万富翁》 (2008)  8.6分  评价数:601374  短评:上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
177 《真爱至上》 (2003)  8.6分  评价数:557623  短评:爱，是个动词。
178 《东邪西毒》 (1994)  8.6分  评价数:464782  短评:电影诗。
179 《头脑特工队》 (2015)  8.7分  评价数:450006  短评:愿我们都不用长大，每一座城堡都能永远存在。
180 《黑天鹅》 (2010)  8.6分  评价数:664414  短评:黑暗之美。
181 《海街日记》 (2015)  8.8分  评价数:314179  短评:是枝裕和的家庭习作。
182 《惊魂记》 (1960)  9.0分  评价数:189519  短评:故事的反转与反转，分裂电影的始祖。
183 《你看起来好像很好吃》 (2010)  8.9分  评价数:264724  短评:感情不分食草或者食肉。
184 《无敌破坏王》 (2012)  8.7分  评价数:412315  短评:迪士尼和皮克斯拿错剧本的产物。
185 《冰川时代》 (2002)  8.6分  评价数:489648  短评:松鼠才是角儿。
186 《雨人》 (1988)  8.7分  评价数:326337  短评:生活在自己的世界里，也可以让周围的人显得可笑和渺小。
187 《恋恋笔记本》 (2004)  8.5分  评价数:512894  短评:爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
188 《小偷家族》 (2018)  8.7分  评价数:640962  短评:我们组成了家。
189 《绿里奇迹》 (1999)  8.9分  评价数:226196  短评:天使暂时离开。
